"","text","creation_time","isRetweet","retweet_count","favoite_count","user"
"97","SRK The Real King Khan Of Bollywood Mr Shahrukh Khan SIR httpstcoIEzEXjhb",2016-10-23 17:21:52,FALSE,0,0,"Sachin807523"
"98","I liked a YouTube video httpstcoSmIimOy Shahrukh Khan Shower Video",2016-10-23 17:19:59,FALSE,0,0,"John102009"
"99","Dear Zindagi Movie Wallpaper l Shahrukh amp Alia l amp Trailer Chek Out The Upcoming Bollywood… httpstcowaEcjlcDg",2016-10-23 17:18:58,FALSE,0,0,"DanialJavaid075"
"100","Just posted a photo httpstcoYYaFmKUJdm",2016-10-23 17:15:15,FALSE,0,0,"shahrukh_masota"
"101","Dear Movie Hit Dialogue l Shahrukh Khan l Alia Bhat Hello Guys We sharing some beautiful… httpstcozLaqSjjB",2016-10-23 17:14:39,FALSE,0,0,"DanialJavaid075"
"102","Just posted a photo httpstcooOmyzCLif",2016-10-23 17:11:26,FALSE,0,0,"shahrukh_masota"
"103"," feroze Love football Love Chelsea Love you all <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E39>",2016-10-23 17:02:55,TRUE,126,0,"Shahrukh_SM11"
"104"," sajtvonline Abtakk TV News anchor says ‘keep watching Samaa’ in the extra of prime time news bulletin
httpstcoPJfLxPkC https…",2016-10-23 16:57:14,TRUE,1,0,"shahrukh_as"
"105","iamsrk good night sweet <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E63> dream love u Shahrukh god bless u",2016-10-23 16:56:32,FALSE,0,0,"983Fahmeeda"
"106","The movie Shahrukh n Aish Yes<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E34> httpstcostxuOvr",2016-10-23 16:54:38,FALSE,0,0,"sheems_"
"107"," ChelseaFC FULLTIME ChelseaFC  Man Utd <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63> CHEMUN httpstcoaWBJLZjWRu",2016-10-23 16:54:00,TRUE,14468,0,"Shahrukh_SM11"
